StudentID,Gender,GroupID,Region,AdmissionCode,EntranceScore,CreditsEarned1,CreditsEarned2,CreditsEarned3,CreditsEarned4,GPA1,GPA2,GPA3,GPA4,TermStatus1,TermStatus2,TermStatus3,TermStatus4,Graduated,University
S00001,Female,6,1,A00,22.51,14,13,17,14,2.29,2.91,3.35,2.56,Fail,Pass,Pass,Pass,1,Hutech
S00002,Female,6,1,A01,20.78,24,23,11,14,3.77,3.39,3.67,2.76,Pass,Pass,Pass,Pass,1,Văn Lang
S00003,Female,2,3,B00,23.82,12,12,18,13,3.65,3.07,2.78,2.74,Pass,Pass,Pass,Pass,1,Hutech
S00004,Male,1,4,A00,21.34,15,15,19,10,3.83,2.91,3.54,2.54,Pass,Pass,Pass,Pass,1,Văn Lang
S00005,Female,4,1,A00,24.56,19,19,24,18,3.47,3.1,2.96,3.57,Pass,Pass,Pass,Pass,1,Hutech
S00006,Male,5,4,A00,27.5,18,14,21,10,3.81,3.34,3.53,3.13,Pass,Pass,Pass,Pass,1,Hutech
S00007,Female,5,3,A01,29.64,24,13,11,16,3.36,3.81,3.69,3.68,Pass,Pass,Pass,Pass,1,Văn Lang
S00008,Male,4,1,C00,20.59,25,21,18,23,3.95,3.35,3.4,3.77,Pass,Pass,Pass,Pass,1,Hutech
S00009,Male,2,4,A01,22.77,17,12,10,20,2.37,3.26,3.65,3.04,Fail,Pass,Pass,Pass,1,Văn Lang
S00010,Female,1,2,A01,24.23,12,24,19,11,3.3,3.3,2.92,3.21,Pass,Pass,Pass,Pass,1,Văn Lang
S00011,Female,4,2,A01,21.71,14,24,15,18,3.38,2.93,2.2,3.67,Pass,Pass,Pass,Pass,1,Hutech
S00012,Female,6,5,D01,22.89,24,20,24,11,3.96,2.46,3.7,2.71,Pass,Fail,Pass,Pass,1,Văn Lang
S00013,Male,3,5,B00,27.41,24,13,10,10,3.62,3.66,3.95,2.95,Pass,Pass,Pass,Pass,1,Văn Lang
S00014,Male,2,5,A00,25.65,23,24,15,24,3.49,2.85,2.59,2.67,Pass,Pass,Pass,Pass,1,Hutech
